riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs1013293-A	3E-8	-	NR	-	"0.071027 unit decrease"	[0.046-0.096]	PATJ	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	1:62104649	37106081	"Schoeler T"
rs7528604-A	4E-8	-	NR	-	"0.069712 unit decrease"	[0.045-0.095]	PDE4B	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	1:65941669	37106081	"Schoeler T"
rs11165493-A	7E-11	-	NR	-	"0.087258 unit increase"	[0.061-0.114]	LINC02790,LINC02607	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	1:95809372	37106081	"Schoeler T"
rs13011181-C	4E-10	-	NR	-	"0.092559 unit decrease"	[0.064-0.122]	AFF3	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	2:100115984	37106081	"Schoeler T"
rs72820274-A	4E-9	-	NR	-	"0.075189 unit increase"	[0.05-0.1]	CAPZBP1,LINC01965	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	2:103796466	37106081	"Schoeler T"
rs74824115-C	5E-8	-	NR	-	"0.095519 unit decrease"	[0.061-0.13]	CCDC148	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	2:158452227	37106081	"Schoeler T"
rs6728904-T	1E-8	-	NR	-	"0.071926 unit increase"	[0.047-0.097]	RFTN2	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	2:197628113	37106081	"Schoeler T"
rs6749560-T	3E-8	-	NR	-	"0.079513 unit increase"	[0.051-0.108]	ERBB4	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	2:211391467	37106081	"Schoeler T"
rs6735267-T	2E-9	-	NR	-	"0.085965 unit decrease"	[0.058-0.114]	ERBB4,LINC01878	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	2:212539139	37106081	"Schoeler T"
rs62201071-C	4E-8	-	NR	-	"0.069026 unit increase"	[0.044-0.094]	SPHKAP	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	2:228055251	37106081	"Schoeler T"
rs7558924-C	1E-8	-	NR	-	"0.076863 unit decrease"	[0.051-0.103]	DNER	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	2:229680941	37106081	"Schoeler T"
rs75971153-C	1E-8	-	NR	-	"0.090932 unit decrease"	[0.059-0.122]	NCOA1,ITSN2	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	2:24466274	37106081	"Schoeler T"
rs75503394-T	8E-14	-	NR	-	"0.16038 unit increase"	[0.12-0.2]	DNAJC27,ADCY3	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	2:24932550	37106081	"Schoeler T"
rs10185199-A	2E-9	-	NR	-	"0.088549 unit decrease"	[0.06-0.118]	SLC8A1-AS1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	2:40055062	37106081	"Schoeler T"
rs35722922-G	1E-8	-	NR	-	"0.07379 unit decrease"	[0.048-0.099]	SOCS5,LINC01118	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	2:46775087	37106081	"Schoeler T"
rs35557355-T	9E-9	-	NR	-	"0.074284 unit increase"	[0.049-0.1]	PPIAP63,EIF2S2P7	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	2:57019659	37106081	"Schoeler T"
rs764975-G	1E-11	-	NR	-	"0.086284 unit decrease"	[0.061-0.111]	LINC01122	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	2:58534464	37106081	"Schoeler T"
rs12622280-G	2E-8	-	NR	-	"0.097582 unit decrease"	[0.064-0.131]	CTNNA2	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	2:79288828	37106081	"Schoeler T"
rs9854637-A	3E-8	-	NR	-	"0.077167 unit increase"	[0.05-0.104]	BBX	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	3:107687783	37106081	"Schoeler T"
rs6785191-C	1E-8	-	NR	-	"0.080782 unit increase"	[0.053-0.109]	CPNE4	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	3:131734712	37106081	"Schoeler T"
rs6792607-C	4E-12	-	NR	-	"0.088763 unit increase"	[0.064-0.114]	EIF5A2	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	3:170892527	37106081	"Schoeler T"
rs78862061-G	9E-10	-	NR	-	"0.10238 unit decrease"	[0.07-0.135]	NMRAL2P	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	3:186009040	37106081	"Schoeler T"
rs35672995-T	2E-9	-	NR	-	"0.084302 unit decrease"	[0.057-0.112]	SGO1-AS1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	3:20366437	37106081	"Schoeler T"
rs56076618-C	1E-8	-	NR	-	"0.073896 unit decrease"	[0.048-0.099]	FHIT	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	3:61183243	37106081	"Schoeler T"
rs9835772-T	3E-9	-	NR	-	"0.086419 unit increase"	[0.058-0.115]	CADM2	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	3:85716875	37106081	"Schoeler T"
rs13105682-G	4E-10	-	NR	-	"0.18115 unit increase"	[0.12-0.24]	BANK1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	4:101781207	37106081	"Schoeler T"
rs750090-C	9E-9	-	NR	-	"0.076936 unit decrease"	[0.051-0.103]	LINC02273,RNA5SP169	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	4:152010284	37106081	"Schoeler T"
rs2192527-G	3E-9	-	NR	-	"0.074374 unit increase"	[0.05-0.099]	LINC02438,LCORL	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	4:18328201	37106081	"Schoeler T"
rs56203712-G	3E-15	-	NR	-	"0.12186 unit decrease"	[0.092-0.152]	ZCCHC4	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	4:25340984	37106081	"Schoeler T"
rs4438748-A	3E-8	-	NR	-	"0.1015 unit decrease"	[0.066-0.137]	IGBP1P5,RN7SL101P	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	4:28473304	37106081	"Schoeler T"
rs288188-C	3E-9	-	NR	-	"0.099415 unit decrease"	[0.067-0.132]	FBXL17	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	5:108008222	37106081	"Schoeler T"
rs329118-T	5E-10	-	NR	-	"0.079092 unit decrease"	[0.054-0.104]	JADE2	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	5:134525973	37106081	"Schoeler T"
rs601728-C	3E-8	-	NR	-	"0.073347 unit increase"	[0.047-0.099]	CXXC5	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	5:139677491	37106081	"Schoeler T"
rs261076-A	4E-8	-	NR	-	"0.087775 unit decrease"	[0.056-0.119]	DOCK2,INSYN2B	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	5:169877368	37106081	"Schoeler T"
rs13157106-T	4E-8	-	NR	-	"0.075353 unit increase"	[0.048-0.102]	HTR1A,ISCA1P1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	5:63688050	37106081	"Schoeler T"
rs7707394-A	5E-14	-	NR	-	"0.098363 unit decrease"	[0.073-0.124]	ANKRD31	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	5:75177114	37106081	"Schoeler T"
rs11948659-A	1E-8	-	NR	-	"0.08362 unit decrease"	[0.055-0.112]	LINC02488,TMEM161B	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	5:88144680	37106081	"Schoeler T"
rs13163173-A	4E-13	-	NR	-	"0.12549 unit increase"	[0.092-0.159]	MIR9-2HG	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	5:88647802	37106081	"Schoeler T"
rs261985-A	3E-9	-	NR	-	"0.077254 unit increase"	[0.052-0.103]	CAST	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	5:96507283	37106081	"Schoeler T"
rs44205-A	5E-8	-	NR	-	"0.072644 unit decrease"	[0.047-0.099]	OVOL1,CFL1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	11:65797315	37106081	"Schoeler T"
rs11609798-C	4E-8	-	NR	-	"0.069993 unit increase"	[0.045-0.095]	ABCB9	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	12:122925147	37106081	"Schoeler T"
rs2279574-C	4E-8	-	NR	-	"0.069044 unit increase"	[0.044-0.094]	DUSP6	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	12:89351700	37106081	"Schoeler T"
rs12584774-C	3E-8	-	NR	-	"0.082906 unit decrease"	[0.054-0.112]	LINC00355,LGMNP1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	13:64864470	37106081	"Schoeler T"
rs1441264-G	4E-13	-	NR	-	"0.096612 unit decrease"	[0.071-0.123]	NIPA2P5,CCT5P2	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	13:79006784	37106081	"Schoeler T"
rs10144067-C	2E-13	-	NR	-	"0.095293 unit decrease"	[0.07-0.121]	UNC79	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	14:93418852	37106081	"Schoeler T"
rs4432271-C	2E-8	-	NR	-	"0.10692 unit decrease"	[0.069-0.145]	SNRPEP3,GPR139	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	16:20233961	37106081	"Schoeler T"
rs62031393-T	6E-10	-	NR	-	"0.12865 unit increase"	[0.088-0.169]	SBK1,NPIPB6	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	16:28335840	37106081	"Schoeler T"
rs12928335-T	5E-8	-	NR	-	"0.12517 unit decrease"	[0.08-0.17]	RPGRIP1L,AKTIP	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	16:53580834	37106081	"Schoeler T"
rs1075440-G	2E-19	-	NR	-	"0.12175 unit decrease"	[0.095-0.148]	FTO	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	16:53756994	37106081	"Schoeler T"
rs566168-T	1E-8	-	NR	-	"0.079785 unit decrease"	[0.052-0.107]	G6PC1,AARSD1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	17:42939605	37106081	"Schoeler T"
rs72867237-T	3E-8	-	NR	-	"0.10066 unit increase"	[0.065-0.136]	LINC00470,AIDAP3	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	18:1837627	37106081	"Schoeler T"
rs11152029-G	4E-8	-	NR	-	"0.084909 unit increase"	[0.055-0.115]	RAB27B	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	18:54858016	37106081	"Schoeler T"
rs8100439-A	6E-9	-	NR	-	"0.10029 unit decrease"	[0.067-0.134]	ZNF536	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	19:30492899	37106081	"Schoeler T"
rs6050446-A	2E-8	-	NR	-	"0.19908 unit decrease"	[0.13-0.27]	ENTPD6	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	20:25214873	37106081	"Schoeler T"
rs4911137-C	4E-8	-	NR	-	"0.069507 unit decrease"	[0.045-0.094]	PIGPP3,TPM3P2	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	20:33947657	37106081	"Schoeler T"
rs6117348-C	2E-9	-	NR	-	"0.07996 unit decrease"	[0.054-0.106]	CASC20,LINC01713	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	20:6584272	37106081	"Schoeler T"
rs10854853-T	3E-8	-	NR	-	"0.069321 unit increase"	[0.045-0.094]	MIR3201,TAFA5	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	22:48478600	37106081	"Schoeler T"
rs12046439-C	2E-8	-	NR	-	"0.084279 unit increase"	[0.055-0.114]	LINC01661,PRMT6	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	1:106994177	37106081	"Schoeler T"
rs1546924-T	4E-8	-	NR	-	"0.069277 unit increase"	[0.045-0.094]	INKA2	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	1:111730863	37106081	"Schoeler T"
rs6587552-A	3E-10	-	NR	-	"0.093901 unit increase"	[0.065-0.123]	BNIPL	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	1:151046385	37106081	"Schoeler T"
rs75160483-T	6E-9	-	NR	-	"0.23686 unit increase"	[0.16-0.32]	SMG5	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	1:156268944	37106081	"Schoeler T"
rs72717424-A	2E-8	-	NR	-	"0.17566 unit increase"	[0.11-0.24]	SEC16B,LINC01741	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	1:177793878	37106081	"Schoeler T"
rs7551784-C	5E-8	-	NR	-	"0.071493 unit decrease"	[0.046-0.097]	IPO9-AS1,NAV1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	1:201798121	37106081	"Schoeler T"
rs7539903-T	1E-8	-	NR	-	"0.073999 unit increase"	[0.049-0.099]	LINC01774,TFDP1P1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	1:209034688	37106081	"Schoeler T"
rs4844797-C	4E-8	-	NR	-	"0.10767 unit increase"	[0.069-0.146]	TFDP1P1,ATP5MC2P1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	1:209257825	37106081	"Schoeler T"
rs12133086-T	5E-8	-	NR	-	"0.11977 unit increase"	[0.077-0.163]	SYT14,UTP25	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	1:209888698	37106081	"Schoeler T"
rs3818788-T	5E-8	-	NR	-	"0.071506 unit decrease"	[0.046-0.097]	COL16A1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	1:31692773	37106081	"Schoeler T"
rs145863291-T	1E-8	-	NR	-	"0.20375 unit decrease"	[0.13-0.27]	MACF1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	1:39218969	37106081	"Schoeler T"
rs7545034-T	2E-8	-	NR	-	"0.071637 unit increase"	[0.047-0.096]	TAL1,PDZK1IP1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	1:47193773	37106081	"Schoeler T"
rs1343431-A	2E-12	-	NR	-	"0.092114 unit increase"	[0.066-0.118]	AGBL4	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	1:48967331	37106081	"Schoeler T"
rs1486091-C	2E-8	-	NR	-	"0.070933 unit increase"	[0.046-0.096]	NEGR1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	1:72105681	37106081	"Schoeler T"
rs61777072-C	6E-10	-	NR	-	"0.12572 unit decrease"	[0.086-0.165]	AK5	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	1:77523274	37106081	"Schoeler T"
rs12122664-C	4E-8	-	NR	-	"0.074667 unit increase"	[0.048-0.101]	BARHL2,LINC02609	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	1:90755058	37106081	"Schoeler T"
rs588660-G	2E-8	-	NR	-	"0.072092 unit decrease"	[0.047-0.097]	EEF1A1P11,UBE2WP1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	1:96421048	37106081	"Schoeler T"
rs4378243-G	4E-8	-	NR	-	"0.092778 unit increase"	[0.06-0.126]	DPYD	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	1:97930325	37106081	"Schoeler T"
rs10205835-G	3E-10	-	NR	-	"0.08252 unit decrease"	[0.057-0.108]	SCHLAP1,CWC22	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	2:180455551	37106081	"Schoeler T"
rs62179345-T	4E-9	-	NR	-	"0.2002 unit increase"	[0.13-0.27]	DSTNP5,PARD3B	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	2:204498097	37106081	"Schoeler T"
rs9636391-A	3E-8	-	NR	-	"0.093347 unit increase"	[0.06-0.127]	NRXN1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	2:49973972	37106081	"Schoeler T"
rs76847828-G	6E-13	-	NR	-	"0.18498 unit decrease"	[0.13-0.24]	TMEM18	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	2:666466	37106081	"Schoeler T"
rs11127034-G	5E-10	-	NR	-	"0.080009 unit increase"	[0.055-0.105]	KDM3A,U8	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	2:86421369	37106081	"Schoeler T"
rs1436343-A	3E-8	-	NR	-	"0.070341 unit decrease"	[0.045-0.095]	ALCAM,EZRP1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	3:104887286	37106081	"Schoeler T"
rs4584644-T	4E-8	-	NR	-	"0.068898 unit increase"	[0.044-0.094]	PDZRN4	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	12:41416063	37106081	"Schoeler T"
rs9827662-A	3E-8	-	NR	-	"0.080599 unit increase"	[0.052-0.109]	PPP2R3A	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	3:135991999	37106081	"Schoeler T"
rs556464-C	2E-11	-	NR	-	"0.084383 unit decrease"	[0.06-0.109]	SPATA16,NLGN1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	3:173395890	37106081	"Schoeler T"
rs3914188-G	5E-9	-	NR	-	"0.082545 unit increase"	[0.055-0.11]	ECE2,EEF1AKMT4-ECE2	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	3:184292260	37106081	"Schoeler T"
rs116331771-G	5E-8	-	NR	-	"0.19959 unit increase"	[0.13-0.27]	ARPP21,RNU6-243P	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	3:35444868	37106081	"Schoeler T"
rs7429588-C	3E-8	-	NR	-	"0.084896 unit increase"	[0.055-0.115]	PRSS43P,PRSS44P	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	3:46793760	37106081	"Schoeler T"
rs13086611-T	1E-14	-	NR	-	"0.10545 unit decrease"	[0.079-0.132]	USP4,GPX1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	3:49347984	37106081	"Schoeler T"
rs4687657-T	2E-9	-	NR	-	"0.085155 unit increase"	[0.057-0.113]	ITIH4	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	3:52818522	37106081	"Schoeler T"
rs12718464-A	7E-9	-	NR	-	"0.15121 unit increase"	[0.1-0.202]	APOA1-AS,APOA1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	11:116836685	37106081	"Schoeler T"
rs7396943-C	1E-8	-	NR	-	"0.073736 unit decrease"	[0.048-0.099]	BMAL1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	11:13307432	37106081	"Schoeler T"
rs3200401-T	1E-8	-	NR	-	"0.086784 unit increase"	[0.057-0.117]	MALAT1,TALAM1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	11:65504361	37106081	"Schoeler T"
rs61903695-G	7E-9	-	NR	-	"0.082882 unit increase"	[0.055-0.111]	NAALAD2	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	11:90189249	37106081	"Schoeler T"
rs2720293-G	2E-11	-	NR	-	"0.098439 unit increase"	[0.07-0.127]	NCKAP5L,LSM6P2	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	12:49781597	37106081	"Schoeler T"
rs59066241-G	1E-8	-	NR	-	"0.11139 unit increase"	[0.073-0.15]	RMST	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	12:97531586	37106081	"Schoeler T"
rs525101-C	1E-9	-	NR	-	"0.07952 unit increase"	[0.054-0.105]	TEX29	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	13:111317381	37106081	"Schoeler T"
rs9515445-C	7E-11	-	NR	-	"0.082528 unit increase"	[0.058-0.107]	TEX29,LINC02337	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	13:111552234	37106081	"Schoeler T"
rs9579775-C	2E-8	-	NR	-	"0.11222 unit increase"	[0.073-0.151]	ZMYM2	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	13:20042417	37106081	"Schoeler T"
rs1927861-T	3E-9	-	NR	-	"0.11203 unit increase"	[0.075-0.149]	ZNF646P1,LINC00558	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	13:53517624	37106081	"Schoeler T"
rs9569725-T	4E-8	-	NR	-	"0.079587 unit decrease"	[0.051-0.108]	PCDH17	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	13:57677853	37106081	"Schoeler T"
rs7338127-A	1E-8	-	NR	-	"0.075986 unit increase"	[0.05-0.102]	DNAJA1P1,CTAGE16P	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	13:58686377	37106081	"Schoeler T"
rs12585736-A	9E-9	-	NR	-	"0.07815 unit increase"	[0.052-0.105]	HS6ST3	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	13:96193628	37106081	"Schoeler T"
rs12147845-T	2E-9	-	NR	-	"0.11725 unit increase"	[0.079-0.156]	LINC00523,DLK1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	14:100678259	37106081	"Schoeler T"
rs12147254-A	3E-8	-	NR	-	"0.075807 unit decrease"	[0.049-0.102]	TRAF3	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	14:102799329	37106081	"Schoeler T"
rs17675363-G	2E-8	-	NR	-	"0.072197 unit decrease"	[0.047-0.098]	RPL10L,LINC00871	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	14:46631289	37106081	"Schoeler T"
rs17597295-T	3E-8	-	NR	-	"0.088395 unit increase"	[0.057-0.12]	NRXN3	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	14:79245909	37106081	"Schoeler T"
rs740791-T	8E-11	-	NR	-	"0.095974 unit decrease"	[0.067-0.125]	UBR7,BTBD7	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	14:93232657	37106081	"Schoeler T"
rs12903168-C	2E-14	-	NR	-	"0.10822 unit decrease"	[0.08-0.136]	IQCH-AS1,IQCH	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	15:67387871	37106081	"Schoeler T"
rs12898704-T	3E-8	-	NR	-	"0.090075 unit increase"	[0.058-0.122]	LOXL1,STOML1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	15:73968642	37106081	"Schoeler T"
rs12148221-A	2E-8	-	NR	-	"0.096263 unit decrease"	[0.063-0.13]	SLCO3A1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	15:92004126	37106081	"Schoeler T"
rs432925-C	3E-8	-	NR	-	"0.078226 unit decrease"	[0.05-0.106]	PDIA2	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	16:284580	37106081	"Schoeler T"
rs12602230-A	2E-13	-	NR	-	"0.12335 unit decrease"	[0.09-0.156]	RTN4RL1,RPA1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	17:1916786	37106081	"Schoeler T"
rs2169357-T	1E-8	-	NR	-	"0.07387 unit increase"	[0.048-0.099]	SMG6	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	17:2193147	37106081	"Schoeler T"
rs11658031-A	2E-8	-	NR	-	"0.16139 unit decrease"	[0.11-0.22]	LINC01563	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	17:21107581	37106081	"Schoeler T"
rs1575676-T	4E-10	-	NR	-	"0.081038 unit decrease"	[0.056-0.106]	FOXO3,AFG1L	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	6:108540061	37106081	"Schoeler T"
rs7755574-T	3E-8	-	NR	-	"0.076813 unit increase"	[0.05-0.104]	RGS17	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	6:153043508	37106081	"Schoeler T"
rs114329900-C	4E-9	-	NR	-	"0.099646 unit increase"	[0.066-0.133]	OPRM1,HMGB3P19	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	6:153981178	37106081	"Schoeler T"
rs707890-C	4E-9	-	NR	-	"0.09963 unit decrease"	[0.066-0.133]	H2BC4	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	6:26105276	37106081	"Schoeler T"
rs13210406-G	1E-8	-	NR	-	"0.078974 unit decrease"	[0.052-0.106]	MMS22L,MIR2113	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	6:97305026	37106081	"Schoeler T"
rs62420371-A	2E-8	-	NR	-	"0.13162 unit increase"	[0.085-0.178]	MIR2113,MMS22L	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	6:97912150	37106081	"Schoeler T"
rs17155888-A	4E-12	-	NR	-	"0.088294 unit increase"	[0.063-0.113]	RELN	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	7:103775848	37106081	"Schoeler T"
rs7788008-A	1E-13	-	NR	-	"0.09344 unit decrease"	[0.069-0.118]	PPP1R3A,SMIM30	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	7:113332428	37106081	"Schoeler T"
rs74819531-C	2E-8	-	NR	-	"0.078019 unit decrease"	[0.051-0.105]	KCNH2,AOC1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	7:150913847	37106081	"Schoeler T"
rs6955410-A	1E-8	-	NR	-	"0.087566 unit decrease"	[0.057-0.118]	ELFN1,MAD1L1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	7:1812427	37106081	"Schoeler T"
rs34762099-C	5E-9	-	NR	-	"0.083555 unit increase"	[0.056-0.112]	GTF2I-AS1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	7:74636378	37106081	"Schoeler T"
rs1167821-T	4E-15	-	NR	-	"0.099278 unit increase"	[0.075-0.124]	PMS2P3	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	7:75520983	37106081	"Schoeler T"
rs917154-G	3E-10	-	NR	-	"0.10943 unit decrease"	[0.075-0.143]	ATP5MF-PTCD1,PTCD1	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	7:99423183	37106081	"Schoeler T"
rs2725374-A	6E-9	-	NR	-	"0.072632 unit decrease"	[0.048-0.097]	PURG,TEX15	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	8:30972173	37106081	"Schoeler T"
rs2980436-A	8E-12	-	NR	-	"0.086495 unit increase"	[0.062-0.111]	FAM86B3P,FAM85B	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	8:8234503	37106081	"Schoeler T"
rs10118701-G	3E-8	-	NR	-	"0.074269 unit increase"	[0.048-0.101]	INVS	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	9:100299084	37106081	"Schoeler T"
rs10810392-A	2E-8	-	NR	-	"0.07701 unit decrease"	[0.05-0.104]	RNU6-246P,FTH1P12	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	9:15529854	37106081	"Schoeler T"
rs10738451-C	3E-10	-	NR	-	"0.087796 unit increase"	[0.06-0.115]	BNC2	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	9:16713668	37106081	"Schoeler T"
rs1412234-C	2E-14	-	NR	-	"0.10212 unit increase"	[0.076-0.128]	LINGO2	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	9:28410685	37106081	"Schoeler T"
rs10991925-C	1E-8	-	NR	-	"0.079448 unit decrease"	[0.052-0.107]	NFIL3	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	9:91415358	37106081	"Schoeler T"
rs10992807-G	9E-9	-	NR	-	"0.08902 unit increase"	[0.059-0.119]	PHF2	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	9:93626865	37106081	"Schoeler T"
rs4073980-G	4E-8	-	NR	-	"0.070084 unit decrease"	[0.045-0.095]	TCF7L2	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	10:112986821	37106081	"Schoeler T"
rs79969674-T	4E-9	-	NR	-	"0.14276 unit increase"	[0.095-0.19]	LINC00838,LINC02628	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	10:33730365	37106081	"Schoeler T"
rs11000930-C	3E-8	-	NR	-	"0.10413 unit increase"	[0.067-0.141]	ADK	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	10:74223224	37106081	"Schoeler T"
rs2187986-A	7E-10	-	NR	-	"0.080433 unit increase"	[0.055-0.106]	CADM1,NXPE2	"BMI (standard GWA)"	"body mass index"	-	GCST90267268	11:115130690	37106081	"Schoeler T"
